Land,Landkreis,Gemeinde-schlüssel,Gemeinde,Schneelastzone,Fußnote(n),DC,ZIP,comments
BB,Brandenburg an der Havel,12051000,Brandenburg an der Havel,2,*Nordd. Tiefl.,12051,,
BB,Cottbus,12052000,Cottbus,2,,12052,,
BB,Frankfurt (Oder),12053000,Frankfurt (Oder),2,*Nordd. Tiefl.,12053,,
BB,Potsdam,12054000,Potsdam,2,*Nordd. Tiefl.,12054,,
BB,Barnim,alle,alle,2,*Nordd. Tiefl.,12060,,
BB,Dahme-Spreewald,alle,alle,2,*Nordd. Tiefl.,12061,,
BB,Elbe-Elster,alle,alle,2,,12062,,
BB,Havelland,alle,alle,2,*Nordd. Tiefl.,12063,,
BB,Märkisch-Oderland,alle,alle,2,*Nordd. Tiefl.,12064,,
BB,Oberhavel,alle,alle,2,*Nordd. Tiefl.,12065,,
BB,Oberspreewald-Lausitz,alle,alle,2,,12066,,
BB,Oder-Spree,alle,alle,2,*Nordd. Tiefl.,12067,,
BB,Ostprignitz-Ruppin,alle,alle,2,*Nordd. Tiefl.,12068,,
BB,Potsdam-Mittelmark,alle,alle,2,*Nordd. Tiefl.,12069,,
BB,Prignitz,alle,alle,2,*Nordd. Tiefl.,12070,,
BB,Spree-Neiße,alle,alle,2,,12071,,
BB,Teltow-Fläming,alle,alle,2,*Nordd. Tiefl.,12072,,
BB,Uckermark,alle,alle,2,*Nordd. Tiefl.,12073,,
