Land,Stadtkreis (SK)/Landkreis (LK),Gemeinde,Schneelastzone,DC,ZIP,comments
BW,Regierungsbezirk Stuttgart:,,,,,
BW,LK Böblingen,Alle Gemeinden,2,08115,,
BW,LK Esslingen,Alle Gemeinden,2,08116,,
BW,LK Göppingen,Alle Gemeinden,2,08117,,
BW,LK Heidenheim,"89168 Niederstotzingen, 89567 Sontheim an der Brenz",1a,08135,,covered by DC rule!
BW,,"Alle Gemeinden, sofern nicht in Zone 1a",2,08135,,"DC: 89168, 89567 are zone 2"
BW,SK Heilbronn,,2,08121,,
BW,LK Heilbronn,Alle Gemeinden,2,08125,,
BW,Hohenlohekreis,"Alle Gemeinden, sofern nicht in Schneelastzone 2",1,08126,,"DC: 74626, 74632, 74613, 74629, 74638, 74639 are zone 2"
BW,,"74626 Bretzfeld, 74632 Neuenstein, 74613 Öhringen, 74629 Pfedelbach, 74638 Waldenburg, 74639 Zweiflingen",2,08126,,covered by DC rule!
BW,LK Ludwigsburg,Alle Gemeinden,2,08118,,
BW,Main-Tauber-Kreis,"Alle Gemeinden, sofern nicht in Schneelastzone 2",1,08128,,DC:
BW,,"Freudenberg, Königheim, Külsheim, Wertheim",2,08128,,covered by DC rule!
BW,Ostalbkreis,"Alle Gemeinden, sofern nicht in Schneelastzone 2a",2,,,
BW,,"Essingen, Heubach",2a,,,
BW,Rems-Murr-Kreis,Alle Gemeinden,2,,,
BW,Schwäbisch Hall,"Blaufelden, Braunsbach, Gerabronn, Kirchberg an der Jagst, Langenburg, Rot am See, Schrozberg",1,,,
BW,,"Alle Gemeinden, sofern nicht in Schneelastzone 1",2,,,
BW,SK Stuttgart,,2,,,
BW,Regierungsbezirk Karlsruhe:,,,,,
BW,SK Baden-Baden,,1,,,
BW,Calw,Alle Gemeinden,2,,,
BW,Enzkreis,Alle Gemeinden,2,,,
BW,LK Freudenstadt,"Alle Gemeinden, sofern nicht in Schneelastzone 2a",2,,,
BW,,"Bad Rippoldsau-Schapbach, Baiersbronn, Freudenstadt, Loßburg",2a,,,
BW,SK Heidelberg,,1,,,
BW,SK Karlsruhe,,1,,,
BW,LK Karlsruhe,"Alle Gemeinden, sofern nicht in Schneelastzone 2",1,,,
BW,,"Bretten, Karlsbad, Kürnbach, Marxzell, Oberderdingen, Sulzfeld, Zaisenhausen",2,,,
BW,SK Mannheim,,1,,,
BW,Neckar-Odenwald-Kreis,Ravenstein,1,,,
BW,,"Alle Gemeinden, sofern nicht in Schneelastzone 1",2,,,
BW,SK Pforzheim,,2,,,
BW,LK Rastatt,"Alle Gemeinden, sofern nicht in Schneelastzone 2",1,,,
BW,,"Forbach, Gaggenau, Gernsbach, Loffenau, Weisenbach",2,,,
BW,Rhein-Neckar-Kreis,"Alle Gemeinden, sofern nicht in Schneelastzone 2",1,,,
