Land,Landkreis,Gemeinde-schlüssel,Gemeinde,Schneelastzone,Fußnote(n),DC,ZIP,comments
SH,Dithmarschen,alle,alle,2,*Nord. Tiefld,01051,,
SH,Herzogtum Lauenburg,alle,alle,2,*Nord. Tiefld,01053,,
SH,Nordfriesland,alle,alle,2,*Nord. Tiefld,01054,,
SH,Ostholstein,alle,alle,2,*Nord. Tiefld,01055,,
SH,Pinneberg,alle,alle außer Helgoland= SLZ 1,2,*Nord. Tiefld,01056,,DC rule (DC 01056): ZIP code 27498 is zone 1
SH,Plön,alle,alle,2,*Nord. Tiefld,01057,,
SH,Rendsburg-Eckernförde,alle,alle,2,*Nord. Tiefld,01058,,
SH,Schleswig-Flensburg,alle,alle,2,*Nord. Tiefld,01059,,
SH,Segeberg,alle,alle,2,*Nord. Tiefld,01060,,
SH,Steinburg,alle,alle,2,*Nord. Tiefld,01061,,
SH,Stormarn,alle,alle,2,*Nord. Tiefld,01062,,
SH,Flensburg,01001000,Flensburg,2,*Nord. Tiefld,01001,,
SH,Kiel,01002000,Kiel,2,*Nord. Tiefld,01002,,
SH,Lübeck,01003000,Lübeck,2,*Nord. Tiefld,01003,,
SH,Neumünster,01004000,Neumünster,2,*Nord. Tiefld,01004,,
