Land,Kreisfreie Stadt/Landkreis,Gemeinde,Gemeindeteil,Schneelastzone,DC,ZIP,comments
SN,Kreisfreie Stadt Dresden,,,2,14612,,
SN,Kreisfreie Stadt Leipzig,,,2,14713,,
SN,Landkreis Mittelsachsen,Altmittweida,,2,,,
SN,,"Burgstädt, Stadt",,,,,
SN,,Claußnitz,,,,,
SN,,"Döbeln, Stadt",,,,,
SN,,Erlau,,,,,
SN,,"Flöha, Stadt","Flöha, Stadt",,,,
SN,,"Frankenberg/Sa., Stadt",,,,,
SN,,"Geringswalde, Stadt",,,,,
SN,,Großweitzschen,,,,,
SN,,"Hainichen, Stadt",,,,,
SN,,"Hartha, Stadt",,,,,
SN,,Hartmannsdorf ,,,,,
SN,,Königsfeld,,,,,
SN,,Königshain-Wiederau,,,,,
SN,,Kriebstein,,,,,
SN,,"Leisnig, Stadt",,,,,
SN,,Lichtenau,,,,,
SN,,"Lunzenau, Stadt",,,,,
SN,,"Mittweida, Stadt",,,,,
SN,,Mochau,,,,,
SN,,Mühlau,,,,,
SN,,Niederwiesa,,,,,
SN,,Ostrau,,,,,
SN,,"Penig, Stadt",,,,,
SN,,Reinsberg,,,,,
SN,,"Rochlitz, Stadt",,,,,
SN,,Rossau,,,,,
SN,,"Roßwein, Stadt",,,,,
SN,,Seelitz,,,,,
SN,,Striegistal,,,,,
SN,,Taura,,,,,
SN,,"Waldheim, Stadt",,,,,
SN,,Wechselburg,,,,,
SN,,Zettlitz,,,,,
SN,,Zschaitz-Ottewig,,,,,
SN,Vogtlandkreis,"Adorf/Vogtl., Stadt",,2,,,
SN,,Bad Brambach,,,,,
SN,,"Bad Elster, Stadt",,,,,
SN,,Bergen,,,,,
SN,,"Elsterberg, Stadt",,,,,
SN,,Heinsdorfergrund,,,,,
SN,,Limbach,,,,,
SN,,Mühlental,,,,,
SN,,"Mylau, Stadt",,,,,
SN,,"Netschkau, Stadt",,,,,
SN,,Neuensalz,,,,,
SN,,Neumark,,,,,
SN,,Neustadt/Vogtl.,,,,,
SN,,"Oelsnitz/Vogtl., Stadt",,,,,
SN,,"Pausa/Vogtl., Stadt",,,,,
SN,,"Plauen, Stadt",,,,,
SN,,Pöhl,,,,,
SN,,"Reichenbach im Vogtland, Stadt",,,,,
SN,,"Rosenbach im Vogtland, Stadt",,,,,
SN,,Theuma,,,,,
SN,,Tirpersdorf,,,,,
SN,,"Treuen, Stadt",,,,,
SN,,Weischlitz,Kloschwitz,,,,
SN,,,Kobitzschwalde,,,,
SN,,,Kröstau,,,,
SN,,,Kürbitz,,,,
SN,,,Rodersdorf,,,,
SN,,,Weischlitz,,,,
SN,,Werda,,,,,
SN,Landkreis Zwickau,Bernsdorf,,2,,,
SN,,Callenberg,,,,,
SN,,"Crimmitschau, Stadt",,,,,
SN,,Dennheritz,,,,,
SN,,Fraureuth,,,,,
SN,,Gersdorf,,,,,
SN,,"Glauchau, Stadt",,,,,
SN,,"Hohenstein-Ernstthal, Stadt",,,,,
SN,,Langenbernsdorf,,,,,
SN,,"Lichtenstein/Sa., Stadt",,,,,
SN,,Lichtentanne,,,,,
SN,,"Limbach-Oberfrohna, Stadt",,,,,
SN,,"Meerane, Stadt",,,,,
SN,,Mülsen ,,,,,
SN,,Neukirchen/Pleiße,,,,,
SN,,Niederfrohna,,,,,
SN,,"Oberlungwitz, Stadt",,,,,
SN,,Oberwiera,,,,,
SN,,Reinsdorf,,,,,
SN,,Remse,,,,,
SN,,Schönberg,,,,,
SN,,St. Egidien,,,,,
SN,,"Waldenburg, Stadt",,,,,
SN,,Werdau,,,,,
SN,,"Zwickau, Stadt",,,,,
SN,Landkreis Bautzen,Arnsdorf,,2,,,
SN,,"Bernsdorf, Stadt",,,,,
SN,,"Bischofswerda, Stadt",,,,,
SN,,Bretnig-Hauswalde,,,,,
SN,,Burkau,,,,,
SN,,Crostwitz/Chrόsćicy,,,,,
SN,,Elsterheide/Halštroska Hola,,,,,
SN,,"Elstra, Stadt",,,,,
SN,,Frankenthal,,,,,
SN,,Großharthau,,,,,
SN,,Großnaundorf,,,,,
SN,,"Großröhrsdorf, Stadt",,,,,
SN,,Haselbachtal,,,,,
SN,,"Hoyerswerda, Stadt/Wojerecy",,,,,
SN,,"Kamenz, Stadt/Kamjenc",,,,,
SN,,"Königsbrück, Stadt",,,,,
SN,,Königswartha/Rakecy,,,,,
SN,,Laußnitz,,,,,
SN,,"Lauta, Stadt",,,,,
SN,,Lichtenberg,,,,,
SN,,Lohsa/Łaz,,,,,
SN,,Nebelschütz/Njebjelčicy,,,,,
SN,,Neschwitz/Njeswačidlo,,,,,
SN,,Neukirch,,,,,
SN,,Ohorn,,,,,
SN,,Oßling,,,,,
SN,,Ottendorf-Okrilla,,,,,
SN,,Panschwitz-Kuckau/Pančicy-Kukow,,,,,
SN,,"Pulsnitz, Stadt",,,,,
SN,,Puschwitz/Bóšicy,,,,,
SN,,Räckelwitz/Worklecy ,,,,,
SN,,"Radeberg, Stadt",,,,,
SN,,Ralbitz-Rosenthal/Ralbicy-Rόžant,,,,,
SN,,Rammenau,,,,,
SN,,Schönteichen,,,,,
SN,,Schwepnitz,,,,,
SN,,Spreetal/Sprjewiny Doł,,,,,
SN,,Steina,,,,,
SN,,Wachau,,,,,
SN,,"Wittichenau, Stadt/Kulow",,,,,
SN,Landkreis Görlitz,"Bad Muskau, Stadt/Mužakow",,2,,,
SN,,Boxberg/O.L./Hamor,Bärwald/Bjerwald,,,,
SN,,,Boxberg/O.L./Hamor,,,,
