Land,Landkreis,Gemeinde-schlüssel,Gemeinde,Schneelastzone nach DIN EN 1991 Teil 1-3 ,wichtige Hinweise,DC,ZIP,comments
BY,,09000997,Bodensee,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09000,,
BY,Ingolstadt,09161000,Ingolstadt,1a,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09161,,
BY,München,09162000,München,1a,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09162,,
BY,Rosenheim,09163000,Rosenheim,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09163,,
BY,Altötting,09171111,Altötting,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09171,,default zone is 2
BY,Altötting,09171112,Burghausen,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09171,84503,covered by DC rule
BY,Altötting,09171113,Burgkirchen a.d. Alz,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09171,84489,covered by DC rule
BY,Altötting,09171114,Emmerting,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09171,84508,covered by DC rule
BY,Altötting,09171115,Erlbach,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09171,84547,covered by DC rule
BY,Altötting,09171116,Feichten a.d. Alz,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09171,84567,covered by DC rule
BY,Altötting,09171117,Garching a.d. Alz,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09171,,covered by DC rule
BY,Altötting,09171118,Haiming,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09171,84533,covered by DC rule
BY,Altötting,09171119,Halsbach,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09171,,covered by DC rule
BY,Altötting,09171121,Kastl,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09171,,covered by DC rule
BY,Altötting,09171122,Kirchweidach,2,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09171,,covered by DC rule
BY,Altötting,09171123,Marktl,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09171,84533,covered by DC rule
BY,Altötting,09171124,Mehring,3,"zusätzlich sind die Ergebnisse des Forschungsprojektes1) zu berücksichtigen (sh. Tabellenblatt ""Erläuterung"")",09171,84561,covered by DC rule
