Land,Landkreis,Gemeinde-schlüssel,Gemeinde,Schneelastzone,Fußnote(n),DC,ZIP,comments,,
RP,Koblenz,07111000,Koblenz,1,,07111,,,,
RP,Ahrweiler,07131001,Adenau,2,,07131,,default zone 2,,
RP,Ahrweiler,07131002,Ahrbrück,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131003,Altenahr,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131004,Antweiler,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131005,Aremberg,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131006,Bad Breisig,1,,07131,53498,covered by DC rule,,
RP,Ahrweiler,07131007,Bad Neuenahr-Ahrweiler,1,,07131,53474,covered by DC rule,,
RP,Ahrweiler,07131008,Barweiler,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131009,Bauler,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131011,Berg,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131014,Brohl-Lützing,1,,07131,56656,covered by DC rule,,
RP,Ahrweiler,07131015,Dankerath,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131016,Dedenbach,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131017,Dernau,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131018,Dorsel,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131021,Eichenbach,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131022,Fuchshofen,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131025,Gönnersdorf,1,,07131,53498,covered by DC rule,,
RP,Ahrweiler,07131026,Harscheid,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131027,Heckenbach,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131028,Herschbroich,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131029,Hönningen,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131030,Hoffeld,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131032,Honerath,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131033,Hümmel,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131034,Insul,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131036,Kalenborn,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131037,Kaltenborn,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131039,Kesseling,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131040,Kirchsahr,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131041,Königsfeld,1,,07131,53426,covered by DC rule,,
RP,Ahrweiler,07131042,Kottenborn,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131044,Leimbach,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131047,Lind,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131049,Mayschoß,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131050,Meuspath,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131051,Müllenbach,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131052,Müsch,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131054,Niederdürenbach,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131055,Niederzissen,1,,07131,56651,covered by DC rule,,
RP,Ahrweiler,07131058,Nürburg,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131059,Oberdürenbach,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131060,Oberzissen,2,,07131,,covered by DC rule,,
