Land,Landkreis,Gemeinde-schlüssel,Gemeinde,Schneelastzone,Fußnote(n),DC,ZIP,comments
TH,Erfurt,16051000,Erfurt,2,,16051,,
TH,Gera,16052000,Gera,2,,16052,,
TH,Jena,16053000,Jena,2,,16053,,
TH,Suhl,16054000,Suhl,2,,16054,,
TH,Weimar,16055000,Weimar,2,,16055,,
TH,Eisenach,16056000,Eisenach,3,,16056,,
TH,Eichsfeld,16061001,Arenshausen,2,,16061,37318,DC rule (DC 16061): tbd.
TH,Eichsfeld,16061002,Asbach-Sickenberg,3,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061003,Berlingerode,2,,16061,37339,covered by DC rule!
TH,Eichsfeld,16061004,Bernterode (bei Heilbad Heiligenstadt),2,,16061,37308,covered by DC rule!
TH,Eichsfeld,16061005,Bernterode (bei Worbis),2,,16061,37355,covered by DC rule!
TH,Eichsfeld,16061007,Birkenfelde,2,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061009,Bischofferode,2,,16061,37345,covered by DC rule!
TH,Eichsfeld,16061011,Bockelnhagen,2,,16061,37345,covered by DC rule!
TH,Eichsfeld,16061012,Bodenrode-Westhausen,2,,16061,37308,covered by DC rule!
TH,Eichsfeld,16061014,Bornhagen,3,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061015,Brehme,2,,16061,37339,covered by DC rule!
TH,Eichsfeld,16061017,Breitenworbis,2,,16061,37339,covered by DC rule!
TH,Eichsfeld,16061018,Büttstedt,2,,16061,37359,covered by DC rule!
TH,Eichsfeld,16061019,Buhla,2,,16061,37339,covered by DC rule!
TH,Eichsfeld,16061021,Burgwalde,2,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061022,Deuna,2,,16061,37355,covered by DC rule!
TH,Eichsfeld,16061023,Dieterode,3,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061024,Dietzenrode/Vatterode,3,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061025,Dingelstädt,2,,16061,37351,covered by DC rule!
TH,Eichsfeld,16061026,Ecklingerode,2,,16061,37339,covered by DC rule!
TH,Eichsfeld,16061027,Effelder,2,,16061,37359,covered by DC rule!
TH,Eichsfeld,16061028,Eichstruth,3,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061031,Ferna,2,,16061,37339,covered by DC rule!
TH,Eichsfeld,16061032,Freienhagen,2,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061033,Fretterode,3,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061034,Geisleden,2,,16061,37308,covered by DC rule!
TH,Eichsfeld,16061035,Geismar,3,,16061,37308,covered by DC rule!
TH,Eichsfeld,16061036,Gerbershausen,3,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061037,Gernrode,2,,16061,37339,covered by DC rule!
TH,Eichsfeld,16061038,Gerterode,2,,16061,37355,covered by DC rule!
TH,Eichsfeld,16061039,Glasehausen,2,,16061,37308,covered by DC rule!
TH,Eichsfeld,16061041,Großbartloff,2,,16061,37359,covered by DC rule!
TH,Eichsfeld,16061042,Großbodungen,2,,16061,37345,covered by DC rule!
TH,Eichsfeld,16061043,Hausen,2,,16061,37327,covered by DC rule!
TH,Eichsfeld,16061044,Haynrode,2,,16061,37339,covered by DC rule!
TH,Eichsfeld,16061045,Heilbad Heiligenstadt,2,,16061,37308,covered by DC rule!
TH,Eichsfeld,16061046,Helmsdorf,2,,16061,37351,covered by DC rule!
TH,Eichsfeld,16061047,Heuthen,2,,16061,37308,covered by DC rule!
TH,Eichsfeld,16061048,Hohengandern,2,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061049,Hohes Kreuz,2,,16061,37308,covered by DC rule!
TH,Eichsfeld,16061051,Holungen,2,,16061,37345,covered by DC rule!
TH,Eichsfeld,16061052,Hundeshagen,2,,16061,37339,covered by DC rule!
TH,Eichsfeld,16061053,Jützenbach,2,,16061,37345,covered by DC rule!
TH,Eichsfeld,16061054,Kallmerode,2,,16061,37327,covered by DC rule!
TH,Eichsfeld,16061055,Kefferhausen,2,,16061,37351,covered by DC rule!
TH,Eichsfeld,16061056,Kella,3,,16061,37308,covered by DC rule!
TH,Eichsfeld,16061057,Kirchgandern,2,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061058,Kirchworbis,2,,16061,37339,covered by DC rule!
TH,Eichsfeld,16061059,Kleinbartloff,2,,16061,37355,covered by DC rule!
TH,Eichsfeld,16061061,Kreuzebra,2,,16061,37351,covered by DC rule!
TH,Eichsfeld,16061062,Krombach,2,,16061,37308,covered by DC rule!
TH,Eichsfeld,16061063,Küllstedt,2,,16061,37359,covered by DC rule!
TH,Eichsfeld,16061,Leinefelde-Worbis,2,,16061,37327 bis 37339,covered by DC rule!
TH,Eichsfeld,16061065,Lenterode,2,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061066,Lindewerra,3,,16061,37318,covered by DC rule!
TH,Eichsfeld,16061067,Lutter,2,,16061,37318,covered by DC rule!
