ZIP code,snow zone,federal state,DC
27489,1,SH (01),01056
52499,1,NW (05),05334
52349-52355,1,NW (05),05358
52372,1,NW (05),05358
52379,1,NW (05),05358
52385,1,NW (05),05358
52391,1,NW (05),05358
52393,1,NW (05),05358
52396,1,NW (05),05358
58730,2,NW (05),05978
58239,2,NW (05),05978
51766,2,NW (05),05374
42499,2,NW (05),05375
51789,2,NW (05),05376
42477,2,NW (05),05377
51515,2,NW (05),05378
51491,2,NW (05),05378
42929,2,NW (05),05378
53783,2,NW (05),05382
53804,2,NW (05),05382
53819,2,NW (05),05382
53809,2,NW (05),05382
51570,2,NW (05),05382
49536,2,NW (05),05566
49504,2,NW (05),05566
48361,2,NW (05),05570
59302,2,NW (05),05570
48336,2,NW (05),05570
59329,2,NW (05),05570
58339,2,NW (05),05954
58256,2,NW (05),05954
59955,3,NW (05),05958
"59755,59757,59759,59821,59823",2,NW (05),05958
"58636,58638,58640,58642,58644",2,NW (05),05962
"58706,58708,58710",2,NW (05),05962
57319,3,NW (05),05970
57339,3,NW (05),05970
59510,1,NW (05),05974
58730,2,NW (05),05978
58239,2,NW (05),05978
"36399,36355,36358,36341,36110,36367",2a,HE (06),06535
"36132,36151,36169",2,HE (06),06631
"34369,34393",2a,HE (06),06633
"34537,34474,35285,35114,35119,34471",2,HE (06),06635
"37247,37235,37249,36205,37284,37216",2,HE (06),06636
"35216,35236,35117",2a,HE (06),06534
"35716,35863-356890,35713,35708",2a,HE (06),06532
64625,1,HE (06),06431
68647,1,HE (06),06431
68642,1,HE (06),06431
64683,1,HE (06),06431
68649,1,HE (06),06431
68623,1,HE (06),06431
64653,1,HE (06),06431
68519,1,HE (06),06431
64673,1,HE (06),06431
64859,1,HE (06),06432
64390,1,HE (06),06432
64347,1,HE (06),06432
64409,1,HE (06),06432
64839,1,HE (06),06432
64319,1,HE (06),06432
64850,1,HE (06),06432
64331,1,HE (06),06432
61476,1,HE (06),06434
61449,1,HE (06),06434
63619,2,HE (06),06435
63628,2,HE (06),06435
63599,2,HE (06),06435
63636,2,HE (06),06435
63639,2,HE (06),06435
63571,2,HE (06),06435
63584,2,HE (06),06435
63637,2,HE (06),06435
63589,2,HE (06),06435
63607,2,HE (06),06435
63633,2a,HE (06),06435
36381,2a,HE (06),06435
36391,2a,HE (06),06435
36396,2a,HE (06),06435
65366,1,HE (06),06439
65391,1,HE (06),06439
65385,1,HE (06),06439
65396,1,HE (06),06439
61118,1,HE (06),06440
61184,1,HE (06),06440
63694,1,HE (06),06440
61194,1,HE (06),06440
30974,3,NI (03),03241
"38685,38667,38640-38690,38723,38704,38729",2,NI (03),03153
37441,3,NI (03),03159
37445,3,NI (03),03159
31848,3,NI (03),03252
37327,2,TH (16),16061
37339,2,TH (16),16061
37345,2,TH (16),16061
37351,2,TH (16),16061
37354,2,TH (16),16061
37355,2,TH (16),16061
37359,2,TH (16),16061
37327-37339,2,TH (16),16061
99755,3,TH (16),16062
99762,3,TH (16),16062
99768,3,TH (16),16062
36448,3,TH (16),16063
99819,3,TH (16),16063
99820,3,TH (16),16063
99826,3,TH (16),16063
99830,3,TH (16),16063
99831,3,TH (16),16063
99842,3,TH (16),16063
99846,3,TH (16),16063
99848,3,TH (16),16063
99862,3,TH (16),16063
99947,3,TH (16),16063
99976,3,TH (16),16064
99986,3,TH (16),16064
99988,3,TH (16),16064
98544,3,TH (16),16066
98559,3,TH (16),16066
98574,3,TH (16),16066
98587,3,TH (16),16066
98593,3,TH (16),16066
98596,3,TH (16),16066
98599,3,TH (16),16066
99100,2,TH (16),16067
99192,2,TH (16),16067
99102,2,TH (16),16070
99334,2,TH (16),16070
96524,2,TH (16),16072
96528,2,TH (16),16072
96529,2,TH (16),16072
07407,2,TH (16),16073
07381,2,TH (16),16075
07806,2,TH (16),16075
07819,2,TH (16),16075
07907,2,TH (16),16075
07919,2,TH (16),16075
"89168,89567",1a,BW (08),08135
"74626,74632,74613,74629,74638,74639",2,BW (08),08126
"97896,97953,97900,97877",2,BW (08),08128
"73457,73540",2a,BW (08),08136
"74572, 74542, 74582, 74592, 74595, 74585,74575",1,BW (08),08127
"77776,72270,72250,72290",2a,BW (08),08237
"75015,76307,75057,76359,75038,75056,75059",2,BW (08),08215
74747,1,BW (08),08225
"76596,76571,76593,76597,76599",2,BW (08),08216
"69151,69234,69245,69250,69253,69256,69257,69259,69412,69434,69436,74889,74909,74915,74918,74921,74924,74925,74927,74931,74933,74934,74937,74939",2,BW (08),08226
"79189,79194,79206,79219,79224,79227,79232,79235,79238,79241,79249,79258,79268,79280,79282,79285,79288,79291,79292,79295,79356,79379,79395,79410,79423,79424,79426,79427",2,BW (08),08315
"77652,77654,77656,77694,77731,77743,77746,77749,77767,77799,77855,77866,77871,77876,77880,77886,77933,77948,77963,77966,77971,77972,77974,77975,77977",1,BW (08),08317
"78141,78136,78098",2a,BW (08),08326
"78549,78554,78559,78564,78586,78588,78591,78594,78607,78647,78665",2,BW (08),08327
"89176,89179,89180,89182,89143,89134,89177,89183,89160,89129,89189,89192,89198",1a,BW (08),08425
"72589,73340,89150,89173,89174,89177,89188,89191,89197",2,BW (08),08425
88430,1a,BW (08),08426
"88058,88069,88079,88099",2,BW (08),08435
"88147,88267,88279,88281,88285,88287,88289,88317,88319,88364,88410",2,BW (08),08436
"88260,88316,88353,88299,88239",3,BW (08),08436
"72525,72531,72532,72534,72537,72539,72818,88529",1,BW (08),08415
"72362,72469,72474,72475,72479 ",1,BW (08),08417
