ZIP,CITY,part of the city,SNOWZONE,Federal State,
88416,Steinhausen a. d. Rottum,Steinhausen,1a,BW,
88416,Steinhausen a. d. Rottum,Bellamont,1a,BW,
88436,Eberhardzell,Füramoos,1a,BW,
88436,Eberhardzell,Mühlhausen,1a,BW,
07389,Gertewitz,,2,TH,
07389,Grobengereuth,,2,TH,
07389,Quaschwitz,,2,TH,
37308,Bernterode (bei Heilbad Heiligenstadt),,2,TH,
37308,Bodenrode-Westhausen,,2,TH,
37308,Geisleden,,2,TH,
37308,Glasehausen,,2,TH,
37308,Heilbad Heiligenstadt,,2,TH,
37308,Heuthen,,2,TH,
37308,Hohes Kreuz,,2,TH,
37308,Krombach,,2,TH,
37308,Reinholterode,,2,TH,
37308,Steinbach,,2,TH,
37318,Arenshausen,,2,TH,
37318,Birkenfelde,,2,TH,
37318,Freienhagen,,2,TH,
37318,Hohengandern,,2,TH,
37318,Kirchgandern,,2,TH,
37318,Lenterode,,2,TH,
37318,Lutter,,2,TH,
37318,Marth,,2,TH,
37318,Rohrberg,,2,TH,
37318,Rustenfelde,,2,TH,
37318,Schachtebich,,2,TH,
37318,Steinheuterode,,2,TH,
37318,Thalwenden,,2,TH,
37318,Uder,,2,TH,
96515,Sonneberg,,2,TH,
98587,Bermbach,,2,TH,
98749,Siegmundsburg,,2,TH,
99310,Alkersleben,,2,TH,
99310,Bösleben-Wüllersleben,,2,TH,
99310,Osthausen-Wülfershausen,,2,TH,
99310,Wipfratal,,2,TH,
99762,Stempeda,,2,TH,
99869,Ballstädt,,2,TH,
99869,Bufleben,,2,TH,
99869,Eschenbergen,,2,TH,
99869,Friemar,,2,TH,
99869,Grabsleben,,2,TH,
99869,Hochheim,,2,TH,
99869,Molschleben,,2,TH,
99869,Pferdingsleben,,2,TH,
99869,Tröchtelborn,,2,TH,
99869,Tüttleben,,2,TH,
99869,Warza,,2,TH,
99869,Westhausen,,2,TH,
99958,Tonna,,2,TH,
99976,Anrode,,2,TH,
99976,Dünwald,,2,TH,
72469,Meßstetten,Hossingen,2,BW,
72469,Meßstetten,Oberdigisheim,2,BW,
72469,Meßstetten,Tieringen,2,BW,
98634,Birx,,2a,TH,
98634,Erbenhausen,,2a,TH,
98634,Frankenheim/Rhön,,2a,TH,
98634,Melpers,,2a,TH,
07381,Moxa,,3,TH,
07381,Paska,,3,TH,
07381,Wernburg,,3,TH,
07407,Rudolstadt,,3,TH,
07907,Burgk,,3,TH,
07907,Görkwitz,,3,TH,
07907,Schleiz,,3,TH,
36433,Moorgrund,,3,TH,
98597,Heßles,,3,TH,
99735,Petersdorf,,3,TH,
99947,Mülverstedt,,3,TH,
99947,Schönstedt,,3,TH,
99947,Weberstedt,,3,TH,
08538,Kloschwitz,,2,SN,
08538,Kobitzschwalde,,2,SN,
08538,Kröstau,,2,SN,
08538,Kürbitz,,2,SN,
08538,Rodersdorf,,2,SN,
08538,Weischlitz,,2,SN,
02943,"Boxberg, Gemeindeteil Bärwalde",,2,SN,
02943,Boxberg,,2,SN,default
02943,Boxberg,Drehna,2,SN,
02943,Boxberg,Kringelsdorf,2,SN,
02943,Boxberg,Mönau,2,SN,
