Landkreis,Gemeindeschlüssel,Gemeinde,Schneelastzone,DC,ZIP,comments,Schneelastzonen NRW stand 31.05.2022
Düsseldorf,5111000,Düsseldorf,1,05111,,,
Duisburg,5112000,Duisburg,1,05112,,,
Essen,5113000,Essen,1,05113,,,
Krefeld,5114000,Krefeld,1,05114,,,
Mönchengladbach,5116000,Mönchengladbach,1,05116,,,
Mülheim an der Ruhr,5117000,Mülheim an der Ruhr,1,05117,,,
Oberhausen,5119000,Oberhausen,1,05119,,,
Remscheid,5120000,Remscheid,2,05120,,,
Solingen,5122000,Solingen,1,05122,,,
Wuppertal,5124000,Wuppertal,1,05124,,,
Kleve,05154004 bis 05154064,alle,1,05154,,,
Mettmann,05158004 bis 05158036,alle,1,05158,,,
Rhein-Kreis Neuss,05162004 bis 05162028,alle,1,05162,,,
Viersen,05166004 bis 05166036,alle,1,05166,,,
Wesel,05170004 bis 05170052,alle,1,05170,,,
Bonn,5314000,Bonn,1,05314,,,
Köln,5315000,Köln,1,05315,,,
Leverkusen,5316000,Leverkusen,1,05316,,,
Aachen,5334002,"Aachen, Stadt",2,05334,,indicated ZIP code is zone 1,
Aachen,5334004,Alsdorf,2,05334,,covered by DC rule!,
Aachen,5334008,Baesweiler,1,05334,52499,covered by DC rule!,
Aachen,5334012,Eschweiler,2,05334,,covered by DC rule!,
Aachen,5334016,Herzogenrath,2,05334,,covered by DC rule!,
Aachen,5334020,Monschau,2,05334,,covered by DC rule!,
Aachen,5334024,Roetgen,2,05334,,covered by DC rule!,
Aachen,5334028,Simmerath,2,05334,,covered by DC rule!,
Aachen,5334032,Stolberg (Rhld.),2,05334,,covered by DC rule!,
Aachen,5334036,Würselen,2,05334,,covered by DC rule!,
Düren,5358004,Aldenhoven,1,05358,,indicated ZIP codes are zone 1,
Düren,5358008,Düren,2,05358,52349-52355,covered by DC rule!,
Düren,5358012,Heimbach,2,05358,52396,covered by DC rule!,
Düren,5358016,Hürtgenwald,2,05358,52393,covered by DC rule!,
Düren,5358020,Inden,1,05358,,covered by DC rule!,
Düren,5358024,Jülich,1,05358,,covered by DC rule!,
Düren,5358028,Kreuzau,2,05358,52372,covered by DC rule!,
Düren,5358032,Langerwehe,2,05358,52379,covered by DC rule!,
Düren,5358036,Linnich,1,05358,,covered by DC rule!,
Düren,5358040,Merzenich,1,05358,,covered by DC rule!,
Düren,5358044,Nideggen,2,05358,52385,covered by DC rule!,
Düren,5358048,Niederzier,1,05358,,covered by DC rule!,
Düren,5358052,Nörvenich,1,05358,,covered by DC rule!,
Düren,5358056,Titz,1,05358,,covered by DC rule!,
Düren,5358060,Vettweiß,2,05358,52391,covered by DC rule!,
Rhein-Erft-Kreis,05362004 bis 05362040,alle,1,05362,,,
Euskirchen,05366004 bis 05366044,alle,2,05366,,,
Heinsberg,05370004 bis 05370040,alle,1,05370,,,
Oberbergischer Kreis,5374004,Bergneustadt,2a,05374,,indicated ZIP codes are zone 2,
Oberbergischer Kreis,5374008,Engelskirchen,2,05374,51766,covered by DC rule!,
Oberbergischer Kreis,5374012,Gummersbach,2a,05374,,covered by DC rule!,
Oberbergischer Kreis,5374016,Hückeswagen,2,05374,42499,covered by DC rule!,
Oberbergischer Kreis,5374020,Lindlar,2,05374,51789,covered by DC rule!,
Oberbergischer Kreis,5374024,Marienheide,2a,05374,,covered by DC rule!,
Oberbergischer Kreis,5374028,Morsbach,2a,05374,,covered by DC rule!,
Oberbergischer Kreis,5374032,Nümbrecht,2a,05374,,covered by DC rule!,
Oberbergischer Kreis,5374036,Radevormwald,2,05374,42477,covered by DC rule!,
