Land,Kreisfreie Stadt/Landkreis,Gemeinde,Gemeindeteil,Schneelastzone,DC,ZIP,comments,,,
SN,Kreisfreie Stadt Dresden,,,2,14612,,,,,
SN,Kreisfreie Stadt Leipzig,,,2,14713,,,,,
SN,Landkreis Mittelsachsen,Altmittweida,,2,14522,,default zone is 2,,,
SN,,"Burgstädt, Stadt",,2,14522,,covered by DC rule,,,
SN,,Claußnitz,,2,14522,,covered by DC rule,,,
SN,,"Döbeln, Stadt",,2,14522,,covered by DC rule,,,
SN,,Erlau,,2,14522,,covered by DC rule,,,
SN,,"Flöha, Stadt","Flöha, Stadt",2,14522,,covered by DC rule,,,
SN,,"Frankenberg/Sa., Stadt",,2,14522,,covered by DC rule,,,
SN,,"Geringswalde, Stadt",,2,14522,,covered by DC rule,,,
SN,,Großweitzschen,,2,14522,,covered by DC rule,,,
SN,,"Hainichen, Stadt",,2,14522,,covered by DC rule,,,
SN,,"Hartha, Stadt",,2,14522,,covered by DC rule,,,
SN,,Hartmannsdorf ,,2,14522,,covered by DC rule,,,
SN,,Königsfeld,,2,14522,,covered by DC rule,,,
SN,,Königshain-Wiederau,,2,14522,,covered by DC rule,,,
SN,,Kriebstein,,2,14522,,covered by DC rule,,,
SN,,"Leisnig, Stadt",,2,14522,,covered by DC rule,,,
SN,,Lichtenau,,2,14522,,covered by DC rule,,,
SN,,"Lunzenau, Stadt",,2,14522,,covered by DC rule,,,
SN,,"Mittweida, Stadt",,2,14522,,covered by DC rule,,,
SN,,Mochau,,2,14522,,covered by DC rule,,,
SN,,Mühlau,,2,14522,,covered by DC rule,,,
SN,,Niederwiesa,,2,14522,,covered by DC rule,,,
SN,,Ostrau,,2,14522,,covered by DC rule,,,
SN,,"Penig, Stadt",,2,14522,,covered by DC rule,,,
SN,,Reinsberg,,2,14522,,covered by DC rule,,,
SN,,"Rochlitz, Stadt",,2,14522,,covered by DC rule,,,
SN,,Rossau,,2,14522,,covered by DC rule,,,
SN,,"Roßwein, Stadt",,2,14522,,covered by DC rule,,,
SN,,Seelitz,,2,14522,,covered by DC rule,,,
SN,,Striegistal,,2,14522,,covered by DC rule,,,
SN,,Taura,,2,14522,,covered by DC rule,,,
SN,,"Waldheim, Stadt",,2,14522,,covered by DC rule,,,
SN,,Wechselburg,,2,14522,,covered by DC rule,,,
SN,,Zettlitz,,2,14522,,covered by DC rule,,,
SN,,Zschaitz-Ottewig,,2,14522,,covered by DC rule,,,
SN,Landkreis Mittelsachsen,"Augustusburg, Stadt",,3,14522,09573,covered by DC rule,,,
SN,,Bobritzsch-Hilbersdorf,,3,14522,09627,covered by DC rule,,,
SN,,"Brand-Erbisdorf, Stadt",,3,14522,09618,covered by DC rule,,,
SN,,Dorfchemnitz,,3,14522,09619,covered by DC rule,,,
SN,,Eppendorf,,3,14522,09575,covered by DC rule,,,
SN,,"Flöha, Stadt",Falkenau,3,14522,09557,covered by DC rule,,,
SN,,"Frauenstein, Stadt",,3,14522,09623,covered by DC rule,,,
SN,,"Freiberg, Stadt",,3,14522,09599,covered by DC rule,,,
SN,,Großhartmannsdorf,,3,14522,09618,covered by DC rule,,,
SN,,"Großschirma, Stadt",,3,14522,09603,covered by DC rule,,,
SN,,Halsbrücke,,3,14522,09633,covered by DC rule,,,
SN,,Leubsdorf,,3,14522,09573,covered by DC rule,,,
SN,,Lichtenberg/Erzgeb.,,3,14522,09638,covered by DC rule,,,
SN,,Mulda/Sa.,,3,14522,09619,covered by DC rule,,,
SN,,Neuhausen/Erzgeb.,,3,14522,09544,covered by DC rule,,,
SN,,Oberschöna,,3,14522,09600,covered by DC rule,,,
SN,,"Oederan, Stadt",,3,14522,09569,covered by DC rule,,,
SN,,Rechenberg-Bienenmühle,,3,14522,09623,covered by DC rule,,,
SN,,"Sayda, Stadt",,3,14522,09619,covered by DC rule,,,
SN,,Weißenborn/Erzgeb.,,3,14522,09600,covered by DC rule,,,
SN,Vogtlandkreis,"Adorf/Vogtl., Stadt",,2,14523,08626,default zone is 2,,,
SN,,Bad Brambach,,2,14523,08648,covered by DC rule,,,
SN,,"Bad Elster, Stadt",,2,14523,08645,covered by DC rule,,,
SN,,Bergen,,2,14523,08239,covered by DC rule,,,
SN,,"Elsterberg, Stadt",,2,14523,07985,covered by DC rule,,,
SN,,Heinsdorfergrund,,2,14523,08468,covered by DC rule,,,
SN,,Limbach,,2,14523,08491,covered by DC rule,,,
SN,,Mühlental,,2,14523,08606,covered by DC rule,,,
SN,,"Mylau, Stadt",,2,14523,08499,covered by DC rule,,,
SN,,"Netzschkau, Stadt",,2,14523,08491,covered by DC rule,,,
SN,,Neuensalz,,2,14523,08541,covered by DC rule,,,
SN,,Neumark,,2,14523,08496,covered by DC rule,,,
SN,,Neustadt/Vogtl.,,2,14523,08223,covered by DC rule,,,
SN,,"Oelsnitz/Vogtl., Stadt",,2,14523,08606,covered by DC rule,,,
SN,,"Pausa/Vogtl., Stadt",,2,14523,07952,covered by DC rule,,,
SN,,"Plauen, Stadt",,2,14523,08543,covered by DC rule,,,
SN,,Pöhl,,2,14523,08543,covered by DC rule,,,
SN,,"Reichenbach im Vogtland, Stadt",,2,14523,08468,covered by DC rule,,,
SN,,"Rosenbach im Vogtland, Stadt",,2,14523,08539,covered by DC rule,,,
SN,,Theuma,,2,14523,08541,covered by DC rule,,,
SN,,Tirpersdorf,,2,14523,08606,covered by DC rule,,,
SN,,"Treuen, Stadt",,2,14523,08233,covered by DC rule,,,
