Land,Landkreis,Gemeinde/Kreisfreie Stadt,Schneelastzone,Fußnote(n),DC,ZIP,comments,,
ST,,Dessau-Roßlau,2,,15001,,,,
ST,,Halle (Saale,2,,15002,,,,
ST,,Magdeburg,2,*Nordd. Tiefld.,15003,,,,
ST,"Altmarkkreis
Salzwedel",alle,2,*Nordd. Tiefld.,15081,,,,
ST,Anhalt-Bitterfeld,alle,2,"*Nordd. Tiefld.  von Zerbst/Anhalt die Ortsteile Buhlendorf, Deetz, Dobritz, Gehrden, Grimme, Lindau, Moritz, Nedlitz, Polenzko, Reuden, Straguth, und Zernitz",15082,,"NGP rule: 39264 Zerbst, Ortsteile as listed on the left",,
ST,Börde,alle,2,"*Nordd. Tiefld. alle, außer 39397 Gröningen, 39397 Kroppenstedt, sowie die südlichen Teile von 39387 Oschersleben (Bode) und 39171 Sülzetal",15083,,"NGP rule: all except 39397, 39387, 39171 apply to NGP rule",,
ST,Burgenlandkreis,alle,2,,15084,,,,
ST,Harz,alle,2,*Nordd. Tiefld. die nördlichen Teile von 38835/38836 Osterwieck und 38836/38838 Huy,15085,,"default zone is 2, NGP rule: northern parts are hard to distinguish -> take whole zip code",,
,,"Ilsenburg (Harz), Ortsteil Darlingerode",2,,15085,38871,covered by DC rule!,,38871 is ambiguous
,,Ilsenburg(Harz),3,,15085,38871,covered by DC rule!,,
,,Oberharz am Brocken,3,,15085,38875-38899,covered by DC rule!,,
,,Wernigerode,3,,15085,38855-38879,covered by DC rule!,,
ST,Jerichower Land,alle,2,*Nordd. Tiefld.,15086,,,,
ST,Mansfeld-Südharz,alle,2,,15087,,,,
ST,Saalekreis,alle,2,,15088,,,,
ST,Salzlandkreis,alle,2,*Nordd. Tiefld. von Barby der Ortsteil 39249 Glinde sowie 39217/39218 Schönebeck (Elbe) und von Bördeland der Ortsteil 39221 Welsleben,15089,,"NGP rule: partially 39249, 39218, partially 39221",,
ST,Stendal,alle,2,*Nordd. Tiefld.,15090,,,,
ST,Wittenberg,alle,2,*Nordd. Tiefld. von 06868-06869 Coswig (Anhalt) die Ortsteile 06868 Serno und 06868 Stackelitz,15091,,NGP rule (NGP15091): partially 06868,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,Die Zuordnung bezieht sich auf den Gebietsstand 1. Dezember 2017,,
